Title,Date,Type
100 Meters,2017-06-17,movie
12 Strong,2023-02-04,movie
13 Geboden,2019-09-06,serie
13 Hours,2021-12-14,serie
1899,2022-11-30,serie
1922,2017-10-30,movie
2 Fast 2 Furious,2020-06-05,movie
2 Guns,2022-08-25,movie
2012,2014-05-20,movie
21,2013-12-08,movie
22 Bullets,2017-02-08,movie
22 July,2018-10-28,movie
3,2013-11-24,serie
30 grader i februari,2016-06-21,serie
300,2017-03-24,movie
4 latas,2019-07-19,movie
42,2019-05-03,movie
47 Ronin,2023-02-10,movie
6 Below,2018-12-02,serie
6 Days,2019-03-02,movie
72 Cutest Animals,2019-12-08,serie
A Beautiful Mind,2015-11-13,movie
A California Christmas,2020-12-19,movie
A Man Apart,2019-11-27,movie
A Star Is Born,2020-08-21,movie
A Walk Among the Tombstones,2020-07-05,movie
Act of Vengeance,2018-10-20,movie
Advokaten,2020-12-16,serie
Africa,2015-07-07,serie
After Life,2022-02-25,serie
Against the Ice,2022-03-13,movie
Alex,2021-10-29,serie
All Stars 2,2014-01-08,serie
All the Money in the World,2020-09-11,movie
Alleen maar nette mensen,2014-10-25,movie
Along Came a Spider,2022-02-25,movie
Alpha,2019-05-04,movie
American Gangster,2021-09-30,movie
American Sniper,2020-08-01,movie
Anatomy of a Scandal,2023-01-18,serie
Angel Has Fallen,2022-12-05,movie
Anne met een E,2021-02-11,serie
Annika Bengtzon,2014-11-01,serie
Aquaman,2020-10-17,movie
Army of Thieves,2021-11-01,movie
Arne Dahl,2014-02-20,serie
Asterix & Obelix,2020-10-24,serie
Asterix en de helden,2020-12-19,movie
Atomic Blonde,2022-08-26,movie
Baby Driver,2019-04-26,movie
Bad Banks,2020-06-30,serie
Bad Blood,2020-05-12,serie
Bad Boys for Life,2020-10-13,movie
Bad Day for the Cut,2018-01-25,movie
Bajocero,2021-01-31,movie
Barbra,2018-02-12,serie
Barry,2018-01-20,movie
Bartkowiak,2021-08-04,movie
Bastille Day,2023-03-24,movie
Baywatch,2019-02-24,movie
Beasts of the Southern Wild,2014-10-25,movie
Beats,2019-06-20,movie
Beck,2020-03-23,serie
Beckett,2021-08-17,movie
Bedrag,2022-11-03,serie
Beethoven,2022-12-23,movie
Better Call Saul,2015-02-17,serie
Bienvenue à Marly Gomont,2017-08-08,movie
Biohackers,2020-08-25,serie
Bird Box,2019-06-19,movie
Birth of the Dragon,2019-08-07,movie
Black Earth Rising,2022-09-24,serie
Black Space,2022-01-14,serie
Black Water,2019-09-12,movie
Black and Blue,2021-06-08,movie
Blackhat,2016-08-09,movie
Blacklight,2022-09-19,movie
Blade Runner 2049,2019-07-12,movie
Blitz,2023-04-26,movie
Blonde,2022-10-02,movie
Blood Diamond,2020-05-30,movie
Blood and Bone,2021-06-21,movie
Bloodline,2017-06-11,serie
Bloodshot,2021-07-16,movie
Blow,2019-08-15,movie
Blå ögon,2017-02-06,serie
Body of Lies,2017-02-18,movie
Bodyguard,2019-12-16,serie
Bonusfamiljen,2021-01-05,serie
Borgen - Power & Glory,2022-09-30,serie
Born to Raise Hell,2018-11-24,movie
Brazen,2022-01-14,movie
Breaking Bad,2014-06-02,serie
Breakout Kings,2015-12-30,serie
Brick Mansions,2018-08-24,movie
Bridgerton,2022-03-28,serie
Bright,2018-01-04,movie
Broadchurch,2017-05-19,serie
Broken City,2016-12-02,movie
Bron,2020-06-15,serie
Brooklyn's Finest,2014-04-09,movie
Brot,2020-03-16,serie
Burlesque,2019-12-30,movie
Bushwick,2023-02-24,movie
BuyBust,2018-11-23,movie
Camilla Läckberg - Fjällback Murders,2015-11-08,serie
Capitani,2022-08-17,serie
Captain Phillips,2015-08-25,movie
Captains Courageous,2019-06-09,movie
Case,2021-07-11,serie
Catch Me If You Can,2020-12-30,movie
Central Intelligence,2022-04-12,movie
Chesapeake Shores,2019-10-17,serie
Christmas Inheritance,2017-12-27,movie
Clickbait,2022-07-19,serie
Close,2023-02-04,movie
Coach Carter,2023-04-04,movie
Code 37,2017-04-24,serie
Cold Mountain,2021-11-25,movie
Collateral,2017-07-28,movie
Collateral,2018-07-11,serie
Colombiana,2021-01-27,movie
Contraband,2018-10-13,movie
Conviction,2014-06-11,movie
Creed II,2021-10-22,movie
Criminal,2017-04-23,movie
Crossing Lines,2019-09-15,serie
Darc,2018-05-04,movie
De 100-jarige man die uit het raam klom en verdween,2017-04-29,movie
De Bende van Jan De Lichte,2020-01-26,serie
De Dominee,2014-01-14,movie
De Eetclub,2013-11-24,movie
De Slag om de Schelde,2021-10-20,movie
De Twaalf,2020-04-26,serie
De beentjes van Sint-Hildegard,2023-06-11,movie
De marathon,2015-02-27,movie
Deadwood,2014-09-26,serie
Dear John,2013-10-15,movie
Defiance,2015-02-27,movie
Deliver Us,2020-10-25,serie
Demolition Man,2018-12-06,movie
Den osannolika mördaren,2021-11-08,serie
Den som dræber,2014-04-10,serie
Designated Survivor,2018-01-27,serie
Desperado,2021-11-17,movie
Det som göms i snö,2020-09-27,serie
Dicte,2014-01-25,serie
Die Kaiserin,2022-10-04,serie
Dirty Harry,2020-03-11,movie
Django Unchained,2019-01-04,movie
Dog Eat Dog,2019-02-09,movie
Dogs of Berlin,2020-05-03,serie
Don't Let Go,2023-04-15,movie
Don't Look Up,2021-12-26,movie
Donnie Brasco,2021-06-30,movie
Double Jeopardy,2021-09-21,movie
Downton Abbey,2021-10-14,serie
Dragon,2018-11-29,serie
Drunken Master,2019-02-09,movie
Duisburg - Linea di sangue,2021-05-13,movie
Dzień Matki,2023-06-18,movie
Earth,2013-12-01,movie
Echoes,2022-08-19,serie
Edge of Darkness,2021-05-04,movie
El Camino,2019-11-29,serie
Elephant White,2014-06-06,movie
Elizabeth,2016-11-27,movie
Ellis in Glamourland,2020-11-22,movie
Emily in Paris,2022-12-22,serie
Enola Holmes,2022-11-12,movie
Enola Holmes 2,2022-11-12,movie
Enough,2020-11-12,movie
Entrapment,2023-03-17,movie
Entrapped,2022-09-17,serie
Entrevías,2023-03-05,serie
Eric Clapton - The 1970s Review,2023-01-26,movie
Escape Plan,2020-09-18,movie
Escape Plan,2019-10-01,serie
Escape Plan 2,2019-03-28,serie
Executive Decision,2019-12-27,movie
Extraction,2023-06-16,movie
Extraction 2,2023-06-16,movie
Extraordinary Attorney Woo,2022-11-25,serie
Eye for an Eye,2022-09-11,movie
FUBAR,2023-06-13,serie
Falcon Rising,2018-07-12,movie
Falling Inn Love,2019-10-05,movie
Fargo,2021-04-21,serie
Fast & Furious,2020-06-05,movie
Fast & Furious 6,2020-05-23,movie
Fast & Furious 7,2020-05-24,movie
Fast Five,2020-06-05,movie
Faster,2021-02-03,movie
Father Stu,2022-11-17,movie
Fatherhood,2021-06-29,movie
Fatma,2021-05-02,serie
Fauda,2023-03-03,serie
Felon,2023-01-13,movie
Fences,2018-10-20,movie
Fenix,2020-08-05,serie
Ferry,2021-05-16,movie
Fifty,2016-03-06,movie
Final Score,2019-08-29,movie
First They Killed My Father,2017-12-27,movie
Fistful of Vengeance,2022-02-18,movie
Flight,2016-03-06,movie
Folk med ångest,2022-01-18,serie
For Life,2022-01-08,serie
Force Of Nature,2020-11-13,movie
Forsvinningen – Lørenskog 31. oktober 2018,2022-09-18,serie
Free State of Jones,2019-12-13,movie
Freedom Writers,2015-12-17,movie
Freelancers,2016-07-20,movie
Frikjent,2022-10-12,serie
Fury,2019-04-14,movie
G.I. Jane,2016-10-02,movie
G.I. Joe,2018-05-18,serie
Garfield 2,2014-01-25,movie
Gattaca,2013-12-20,movie
Geronimo,2020-12-05,serie
Gidseltagningen,2022-02-17,serie
Ginny & Georgia,2021-03-29,serie
Gladbeck,2023-01-27,serie
Gladiator,2020-07-08,movie
Glass Onion,2023-03-16,serie
Glory,2021-04-03,movie
Godless,2021-11-14,serie
Going in Style,2019-02-24,movie
Gone Baby Gone,2022-12-16,movie
Gone for Good,2022-01-28,serie
Good Sam,2019-05-28,movie
Good Will Hunting,2016-01-12,movie
Gran Hotel,2016-11-01,serie
Gran Torino,2015-07-20,movie
Green Book,2022-12-25,movie
Green Zone,2019-10-13,movie
Grenseland,2018-04-28,serie
Gridiron Gang,2015-07-08,movie
Gridlocked,2023-06-19,movie
Hachi,2020-11-08,serie
Hacksaw Ridge,2021-04-05,movie
Half Past Dead,2019-09-29,movie
Hancock,2013-12-14,movie
Hanna,2023-01-13,movie
Hard Target 2,2022-02-25,movie
Hard to Kill,2021-09-01,movie
Harjunpää,2023-03-12,serie
Harry Brown,2013-12-01,movie
Hassel,2020-09-23,serie
Haven,2014-01-10,serie
Hellboy,2019-11-13,movie
Het Vonnis,2016-04-27,movie
Hinterland,2016-05-16,serie
Hit & Run,2021-08-20,serie
Hobo With a Shotgun,2013-11-24,movie
Holidate,2020-12-31,movie
Holiday in the Wild,2019-11-14,movie
Homefront,2022-07-04,movie
Homeland,2013-11-07,serie
Honest Thief,2021-04-02,movie
Hostiles,2019-08-08,movie
Houdini,2015-05-02,serie
How It Ends,2018-08-14,movie
How to Get Away With Murder,2022-07-20,serie
Hummingbird,2019-08-15,movie
Hurricane Carter,2017-02-19,movie
I Am All Girls,2021-06-03,movie
I Am Legend,2019-08-23,movie
Il Commissario Montalbano,2021-05-24,serie
In From the Cold,2022-02-04,serie
In The Name Of The King,2015-11-20,movie
In Vlaamse Velden,2019-04-24,serie
In a Valley of Violence,2021-11-22,movie
In the Electric Mist,2014-05-26,movie
In the Valley of Elah,2017-05-05,movie
Incendies,2016-01-02,movie
Indiana Jones and the Raiders of the Lost Ark,2020-07-07,movie
Indiana Jones and the Temple of Doom,2020-07-09,movie
Inside Man,2022-11-30,serie
Inside Man,2013-12-17,movie
Interceptor,2022-06-08,movie
Interstellar,2021-10-22,movie
Intimidad,2023-01-21,serie
Intouchables,2017-08-13,movie
Invictus,2015-07-25,movie
Ip Man,2018-11-09,movie
Ip Man 2,2018-11-07,movie
Isn't It Romantic,2019-03-02,movie
Jack Reacher,2021-12-24,serie
Jack the Giant Slayer,2019-03-11,movie
Jagten,2017-06-17,movie
Jane Got a Gun,2018-06-11,movie
Jason Bourne,2021-11-26,movie
Johan Falk,2017-02-21,serie
John Carter,2013-12-13,movie
John Wick,2021-05-27,movie
Josie,2019-05-05,movie
Joy,2019-06-02,movie
Jumanji,2019-09-25,serie
Jumping the Broom,2018-11-23,movie
Jussi Adler Olsen's Serie Q,2023-02-06,serie
K-9,2018-10-14,movie
Kalifat,2020-03-22,serie
Karppi,2022-11-05,serie
Kastanjemanden,2021-10-19,serie
Kate,2021-09-27,movie
Katla,2021-07-05,serie
Keizersvrouwen,2021-01-11,serie
Kickboxer,2020-11-14,serie
Kickboxer,2020-12-02,movie
Kidnapping Stella,2019-07-14,movie
Killer Elite,2021-06-15,movie
King Arthur,2019-03-23,serie
King Kong,2021-01-01,movie
Kingdom of Heaven,2013-11-07,movie
Kiss the Girls,2018-07-25,movie
Kleo,2022-08-27,serie
Kon-Tiki,2017-02-17,movie
Kong,2019-02-25,serie
Kriger,2020-07-26,serie
Kvinden i buret,2023-02-05,movie
La casa de papel,2019-07-28,serie
La chica de nieve,2023-03-22,serie
La víctima número 8,2019-08-18,serie
Last Knights,2022-10-02,movie
Lauchhammer - Tod in der Lausitz,2023-03-28,serie
Law Abiding Citizen,2021-07-01,movie
Le nouveau protocole,2021-07-05,movie
Les Combattantes,2023-02-12,serie
Les rivières pourpres,2022-01-15,serie
Let's Kill Bobby Z,2013-10-31,movie
Liberty,2020-10-20,serie
Lilyhammer,2015-01-19,serie
Logan Lucky,2018-10-05,movie
Loin du périph,2022-05-08,movie
London Has Fallen,2020-12-18,movie
Lone Survivor,2014-10-10,movie
Lord of War,2013-10-24,movie
Lou,2022-09-27,movie
"Love, Guaranteed",2020-09-19,movie
Lupin,2021-06-16,serie
Luther,2023-03-10,serie
Lykke-Per,2019-04-28,movie
Machine Gun Preacher,2017-07-08,movie
Maid,2021-10-30,serie
Malavita (The Family),2016-07-29,movie
Man on Fire,2022-03-11,movie
Man on a Ledge,2014-11-15,movie
Manhunt,2020-05-11,serie
Mansfield Park,2013-10-13,movie
Marcella,2021-11-06,serie
Maria Lang Mysteries,2017-06-30,serie
Mark Felt,2019-07-14,serie
Marvel's Iron Fist,2021-03-13,serie
Marvel's Luke Cage,2016-10-13,serie
Marvel's The Punisher,2021-01-22,serie
Master and Commander,2013-10-12,serie
Maximum Conviction,2018-06-15,movie
McFarland USA,2016-06-12,movie
Mechanic,2023-05-21,serie
Men in Black 3,2017-07-18,movie
Merantau,2017-04-05,movie
Mercury Rising,2018-09-28,movie
Michael Jackson's This Is It,2014-08-22,movie
Midnattssol,2018-04-06,serie
Midnight Express,2017-04-17,movie
Midway,2020-05-29,movie
Millennium,2018-02-22,serie
Millennium 2,2018-03-22,serie
Millennium 3,2018-03-23,serie
Millennium trilogie,2013-10-12,serie
Mission,2020-03-12,serie
Mitten in Deutschland,2021-01-21,serie
Modus,2021-10-24,serie
Money Monster,2018-03-17,movie
Moneyball,2022-06-30,movie
Mongol,2014-03-27,movie
Morden i Sandhamn,2019-08-29,serie
Moving Art,2015-11-13,serie
Mowgli,2018-12-07,movie
Murder Mystery,2019-06-16,movie
My Name,2021-12-28,serie
My Next Guest Needs No Introduction With David Letterman,2018-01-20,serie
Mystic River,2021-07-01,movie
Narcos,2015-11-01,serie
Narvik,2023-01-25,movie
National Security,2014-01-12,movie
Nero a metà,2022-02-07,serie
Never Back Down 2,2021-01-14,serie
New Amsterdam,2023-06-19,serie
News of the World,2021-02-24,movie
No Country for Old Men,2018-08-19,movie
Non-Stop,2019-06-18,movie
Norskov,2017-01-22,serie
Nova Zembla,2013-10-16,movie
Oei Ik Groei,2023-06-11,movie
Old Dogs,2014-08-20,movie
Olympus Has Fallen,2020-01-13,movie
Onder Vuur,2022-09-23,serie
Only God Forgives,2018-05-09,movie
Onze Jongens In Miami,2020-08-23,movie
Operation Finale,2020-07-29,movie
Our Souls at Night,2017-10-01,movie
Out of Africa,2018-08-17,movie
Out of Reach,2018-06-14,movie
Outlander,2019-11-26,serie
Outlaw King,2018-11-10,movie
Over Water,2020-07-11,serie
Overdrive,2021-02-08,movie
Ozark,2022-05-01,serie
PIECES OF HER,2022-05-25,serie
Pain & Gain,2018-08-22,movie
Palmeras en la nieve,2016-05-29,movie
Papillon,2019-07-27,movie
Paradise Highway,2023-03-12,movie
Paranoid,2020-04-24,serie
Parker,2021-04-03,movie
Patriots Day,2020-07-17,movie
Paul,2019-06-17,movie
Peaky Blinders,2021-05-06,serie
Penny Dreadful,2015-07-08,serie
Penny's Shadow,2016-07-01,movie
Philly Kid,2014-08-09,movie
Pipa,2022-08-04,movie
Point Blank,2019-07-13,movie
Polar,2021-09-17,movie
Pray For Rain,2017-08-27,movie
Premium Rush,2023-01-28,movie
Primal,2020-09-25,movie
Prince of Persia,2014-05-02,serie
Professor And The Madman (The),2020-02-16,movie
Proud Mary,2019-09-29,movie
Public Enemy,2023-04-15,serie
Punisher,2014-10-17,serie
RED,2021-06-11,movie
RED 2,2021-06-09,movie
Radio,2014-01-16,movie
Ragnarok,2021-07-16,serie
Rambo,2020-05-27,serie
Rambo,2022-12-16,movie
Rambo III,2021-04-30,movie
Rampage,2018-06-14,serie
Rebecka Martinsson,2022-07-08,serie
Rebellion,2021-12-09,serie
Red Dragon,2020-07-10,movie
Red Heat,2018-09-25,movie
Red Notice,2023-01-06,movie
Remember the Titans,2017-02-19,movie
Remi,2015-01-30,serie
Rescue Dawn,2014-10-30,movie
Rescued by Ruby,2022-03-22,movie
Resident Evil,2014-01-07,serie
Resurrecting the Champ,2014-07-06,movie
Revenger,2019-01-16,movie
Ride Along,2016-02-06,movie
Rita,2020-08-23,serie
River,2019-06-21,serie
Road to Perdition,2015-12-04,movie
Robin Hood,2020-07-09,movie
Roger Waters The Wall,2018-04-01,movie
Rojst,2020-04-01,serie
Rough Diamonds,2023-05-14,serie
Rudy,2019-10-10,movie
Rumble,2019-07-25,movie
Run All Night,2022-07-08,movie
Running with the Devil,2022-08-25,serie
Rurouni Kenshin,2021-08-19,serie
Rush Hour 3,2019-10-12,movie
S.W.A.T.,2022-06-30,serie
S.W.A.T.,2022-07-01,movie
SAS,2023-06-22,serie
Sabotage,2020-11-26,movie
Safe,2022-01-20,serie
Safe,2023-06-28,movie
Safe House,2022-08-12,movie
Saknad,2020-07-25,serie
Salt,2021-06-16,movie
Sand Castle,2017-04-22,movie
